Ticker, Time stamp, Value
RQWS, 02/08/4123 17:29:52:58, 657.8109633372171
OAFB, 02/08/4123 09:31:15:71, 105.60855687536369
BDJY, 02/08/4123 17:34:59:80, 68.3356847022508
JKRU, 02/08/4123 12:40:39:74, 103.6920108081448
OXVC, 02/08/4123 11:15:33:42, 98.35757624090502
DFYE, 02/08/4123 10:47:48:86, 123.89539925585075
PDKU, 02/08/4123 09:13:43:33, 248.46185398767793
BHMI, 02/08/4123 15:02:41:55, 313.233668800393
GBNP, 02/08/4123 16:07:21:16, 113.09035045990095
GUCK, 02/08/4123 12:12:33:57, 543.3889415655125
ODYA, 02/08/4123 11:50:52:74, 637.3263646444228
LPCM, 02/08/4123 14:18:54:87, 163.12582402873466
NTMF, 02/08/4123 12:22:24:38, 52.7553012070095
MMYO, 02/08/4123 09:31:07:86, 36.333937723852394
VADH, 02/08/4123 17:23:52:46, 108.72726619450272
QFZB, 02/08/4123 17:20:25:63, 338.9878419431742
ELSC, 02/08/4123 16:00:17:06, 359.14895583632523
CFGW, 02/08/4123 14:45:58:39, 173.08136387234302
VQNF, 02/08/4123 09:07:02:32, 296.37261658173026
ECIG, 02/08/4123 16:05:10:86, 27.32511692777008
QVVV, 02/08/4123 12:56:37:77, 436.81970527725383
FLTR, 02/08/4123 10:32:52:29, 660.6210928004061
GOXI, 02/08/4123 14:00:28:94, 344.8917458920803
CAVE, 02/08/4123 11:13:56:38, 0.186400452303209
DYDF, 02/08/4123 10:54:25:61, 340.73845882889356
NNSN, 02/08/4123 10:01:33:64, 62.44105296997416
IWDX, 02/08/4123 11:05:51:61, 120.63881369515528
BFWI, 02/08/4123 16:59:03:76, 465.4371162330991
GXDW, 02/08/4123 11:06:38:82, 17.904149184614695
ENYQ, 02/08/4123 12:26:00:37, 240.9147813094039
SHRA, 02/08/4123 09:11:23:02, 3.536591093058224
CCWZ, 02/08/4123 17:22:33:53, 61.60085944369926
UOGL, 02/08/4123 14:14:38:03, 157.03936309911376
ARTC, 02/08/4123 15:33:39:24, 132.79560980974435
LNLG, 02/08/4123 09:29:42:17, 86.13033628101664
XTUM, 02/08/4123 12:14:47:66, 35.5467500125907
CVIX, 02/08/4123 17:56:20:94, 125.85335299369964
XJCK, 02/08/4123 17:31:21:70, 91.74569488917332
MZCK, 02/08/4123 15:27:57:34, 268.2770373990232
DRYA, 02/08/4123 15:06:32:49, 78.69776968300064
RFHM, 02/08/4123 14:46:03:60, 473.70215788697163
NBPR, 02/08/4123 09:27:58:26, 361.69722221291715
RYCM, 02/08/4123 11:49:26:42, 23.953796949986405
UOYW, 02/08/4123 12:49:21:06, 27.686093327762563
HJWL, 02/08/4123 12:07:03:28, 82.13801170368298
RUKI, 02/08/4123 10:20:23:89, 2.421471224775015
VPQM, 02/08/4123 12:36:39:53, 204.84114709587243
XETC, 02/08/4123 17:15:02:57, 94.34437476360692
AUGP, 02/08/4123 12:34:38:81, 43.6584581988948
TLBM, 02/08/4123 11:16:29:40, 97.78255021462738
HLOF, 02/08/4123 13:16:06:43, 112.28013343617839
BBRT, 02/08/4123 09:26:15:23, 115.73271067308136
ZLWC, 02/08/4123 16:25:49:04, 137.4687326287414
OLEQ, 02/08/4123 09:27:50:61, 405.3721129276824
KXTQ, 02/08/4123 15:28:56:82, 204.1863752377111
QWBL, 02/08/4123 10:07:28:53, 135.76616380424713
IPIV, 02/08/4123 09:01:46:65, 96.76744424720543
EJPT, 02/08/4123 12:44:07:51, 1.0686293249234056
VTRR, 02/08/4123 09:09:26:41, 56.14226428898748
LLTO, 02/08/4123 12:36:34:50, 824.6371030568115
UGAB, 02/08/4123 17:00:45:50, 144.12111791593063
DHPA, 02/08/4123 16:44:59:02, 18.074719158733604
EZOH, 02/08/4123 16:19:39:48, 58.86376353428611
WSYV, 02/08/4123 17:00:36:35, 103.42570596954756
LRBW, 02/08/4123 10:07:44:11, 180.52363733314522
